number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.4820569855334034,2026-05-12 14:31:57.341822,2026-05-12 14:32:00.343325,0 days 00:00:03.001503,0.5467983561008608,3.20501755284444,0.032481928697702896,3,22,212,1.8131705703547925,26.654403644373378,1.5664580622368365,0.5468055921327309,COMPLETE
1,0.4847587201445896,2026-05-12 14:32:00.345322,2026-05-12 14:32:03.171499,0 days 00:00:02.826177,0.5550213529560302,2.4437525838895207,0.03818145165896871,3,14,106,5.259391401433528,18.11891079080595,1.2329833121584335,0.5545474901621302,COMPLETE
2,0.4729641749357499,2026-05-12 14:32:03.173495,2026-05-12 14:32:05.953301,0 days 00:00:02.779806,0.7355527884179041,3.165865559879191,0.016002960978292496,2,17,284,3.7954329502170365,17.85586096034029,1.0371603301759982,0.6368209952651108,COMPLETE
3,0.4715946196900617,2026-05-12 14:32:05.955295,2026-05-12 14:32:08.828364,0 days 00:00:02.873069,0.7425192044349384,3.579048619304706,0.01110373560851683,2,29,282,5.26459276842719,7.441802850159597,1.352121994991681,0.7896896099223678,COMPLETE
4,0.45615584106623314,2026-05-12 14:32:08.829364,2026-05-12 14:32:11.454227,0 days 00:00:02.624863,0.6987566853061946,2.9601962570447586,0.010569064414047038,2,29,136,5.363955065251753,18.00170052944527,1.1478835644204217,0.5776339944800051,COMPLETE
5,0.44287015756804277,2026-05-12 14:32:11.455232,2026-05-12 14:32:14.570347,0 days 00:00:03.115115,0.776562270506935,0.7035228000974213,0.04536089127921624,3,28,391,2.2388950287268727,9.89957156047863,1.2602642646106115,0.6793699936433255,COMPLETE
6,0.48920157441986717,2026-05-12 14:32:14.571347,2026-05-12 14:32:17.236443,0 days 00:00:02.665096,0.6628088249474746,0.8354778965589686,0.03795444632449299,2,17,216,2.972939149646677,25.054924518850992,1.7895095492804138,0.5842803529062143,COMPLETE
7,0.47066924451267717,2026-05-12 14:32:17.237442,2026-05-12 14:32:20.228477,0 days 00:00:02.991035,0.7187021504122962,2.113095778449227,0.01008927115786203,2,27,332,11.79778485360324,6.851116293352259,1.0926952476201037,0.7120572031542851,COMPLETE
8,0.4428947827123701,2026-05-12 14:32:20.230476,2026-05-12 14:32:23.246462,0 days 00:00:03.015986,0.5975549966080241,4.49245734159347,0.017032868513634135,3,11,359,11.214486496732897,20.93893678388033,1.3777719401295594,0.5932946965146987,COMPLETE
9,0.4876865923173977,2026-05-12 14:32:23.247463,2026-05-12 14:32:26.099026,0 days 00:00:02.851563,0.6481386789093173,0.6143860703484283,0.03402247696673329,3,21,135,8.318259611347916,15.68852545896374,1.0863131415946436,0.7312901539863683,COMPLETE
10,0.45431006454140077,2026-05-12 14:32:26.100025,2026-05-12 14:32:27.913638,0 days 00:00:01.813613,0.6511663535532856,1.4461156561008783,0.02534553018616539,2,17,215,14.436790443235877,29.324063878338816,1.7938901323682697,0.5066392625569427,PRUNED
11,0.4986762866194218,2026-05-12 14:32:27.915637,2026-05-12 14:32:31.167680,0 days 00:00:03.252043,0.6399343643409345,0.5350949058086836,0.029830297923723898,3,22,165,8.432632793282977,23.441777285147154,1.5672715132119275,0.7538866836891932,COMPLETE
12,0.4784372901920648,2026-05-12 14:32:31.168680,2026-05-12 14:32:33.883942,0 days 00:00:02.715262,0.6424890350031925,1.374469262122577,0.025707971897655398,2,24,182,8.364336736547594,22.799445055335298,1.710661504333761,0.7949921072534232,COMPLETE
13,0.47939597348180013,2026-05-12 14:32:33.884939,2026-05-12 14:32:36.545478,0 days 00:00:02.660539,0.6104414020983211,1.3336688272283799,0.04151193155487129,3,18,169,10.980144903971336,24.794858055549753,1.5673010686515252,0.6202867909046132,COMPLETE
14,0.49041601358536663,2026-05-12 14:32:36.547477,2026-05-12 14:32:39.374271,0 days 00:00:02.826794,0.6718819895332729,0.5494513515969706,0.029557541963513307,2,24,250,6.829491798284419,29.231746301217946,1.5753770337241642,0.7461416759560076,COMPLETE
15,0.4829926089445216,2026-05-12 14:32:39.375274,2026-05-12 14:32:42.273926,0 days 00:00:02.898652,0.5062740699450212,1.9260228520876836,0.020863984953950553,3,24,261,7.435397944404821,29.49116249203072,1.5359843985149968,0.7468141009266593,COMPLETE
16,0.4429052046960825,2026-05-12 14:32:42.274924,2026-05-12 14:32:43.917799,0 days 00:00:01.642875,0.6876035913577275,4.942953923096062,0.02923401185197141,2,25,317,9.8941630796158,27.411502671519195,1.483355761693898,0.6826874841198813,PRUNED
17,0.500447215115174,2026-05-12 14:32:43.918799,2026-05-12 14:32:46.862947,0 days 00:00:02.944148,0.6070111909124213,1.100186644498172,0.049709051308189096,3,20,177,7.04294250431502,21.563970320235054,1.6525838698476343,0.7617949260418497,COMPLETE
18,0.49045292140306485,2026-05-12 14:32:46.865948,2026-05-12 14:32:49.513203,0 days 00:00:02.647255,0.6028453913544723,1.1021306293584971,0.04916240239959307,3,20,171,13.995974346303338,13.627263859059768,1.6806277159911107,0.7677802893432816,COMPLETE
19,0.4812776760325895,2026-05-12 14:32:49.514203,2026-05-12 14:32:52.148979,0 days 00:00:02.634776,0.5639657138972543,1.9686298261020936,0.019148405687838432,3,19,114,9.761767910689152,21.43103915968943,1.6952155126910413,0.6965592789166004,COMPLETE
20,0.4839616794896185,2026-05-12 14:32:52.149980,2026-05-12 14:32:54.895277,0 days 00:00:02.745297,0.622994701935541,3.806501131948648,0.013323095818431772,3,14,149,6.481548721789443,13.309191134368449,1.4586711346372727,0.6593516788448047,COMPLETE
21,0.48780187822141674,2026-05-12 14:32:54.896277,2026-05-12 14:32:56.599359,0 days 00:00:01.703082,0.5765441416866848,1.1226026381415612,0.04948906947787191,3,21,186,14.585317268625264,12.038829081084138,1.6592253812202689,0.7718433955164696,PRUNED
22,0.4884655325109016,2026-05-12 14:32:56.600360,2026-05-12 14:32:59.179226,0 days 00:00:02.578866,0.5956219545925523,1.6424278854288517,0.049860304738412436,3,20,164,12.076416724521124,15.100597033496983,1.6426866886979723,0.7604977381154789,COMPLETE
23,0.4877257125472474,2026-05-12 14:32:59.179974,2026-05-12 14:33:01.816169,0 days 00:00:02.636195,0.5168463078245742,1.0068794466446958,0.04144294675879425,3,22,199,13.118357205392911,20.141767050056306,1.6316015564011728,0.7262892634312627,COMPLETE
24,0.4884406320791981,2026-05-12 14:33:01.817170,2026-05-12 14:33:04.460798,0 days 00:00:02.643628,0.6277511641374786,2.3819125534228967,0.04374105811888077,3,15,243,9.195145275160701,22.395051423934785,1.7219632688519717,0.7768586477103847,COMPLETE
25,0.49136234046633176,2026-05-12 14:33:04.461512,2026-05-12 14:33:06.210674,0 days 00:00:01.749162,0.5831268341883022,1.0658843885603408,0.03491397219294899,3,19,138,12.860354032127896,24.011442503867567,1.7483748554123066,0.7126375000509189,PRUNED
26,0.4975146503881438,2026-05-12 14:33:06.211680,2026-05-12 14:33:09.029329,0 days 00:00:02.817649,0.5363891068494895,1.5474670547632148,0.024881237082297517,3,22,229,4.208165987284419,19.45007741915753,1.4689126111520854,0.79893127394668,COMPLETE
27,0.49551120099557694,2026-05-12 14:33:09.030327,2026-05-12 14:33:11.814569,0 days 00:00:02.784242,0.5270311937665224,1.532492568531803,0.02757177457305841,3,26,239,4.352178801486228,19.562467082752953,1.4357298981568523,0.7968905398597795,COMPLETE
28,0.48880772235568964,2026-05-12 14:33:11.816563,2026-05-12 14:33:14.680757,0 days 00:00:02.864194,0.5316488944406605,1.6746996105257947,0.022817061302528644,3,23,230,6.600228683180131,26.61360085512289,1.5079082758384454,0.743459921650558,COMPLETE
29,0.49777743111940626,2026-05-12 14:33:14.681760,2026-05-12 14:33:17.514717,0 days 00:00:02.832957,0.5685998765048479,2.6307540413213406,0.0230509643678161,3,22,199,1.0598828211252558,23.212867322276907,1.3206925956135704,0.7994850758498009,COMPLETE
30,0.4941904029318349,2026-05-12 14:33:17.515712,2026-05-12 14:33:20.335482,0 days 00:00:02.819770,0.6288846448148293,3.5826544921062986,0.030771026823707855,3,23,200,1.2189253715374206,23.23810897694386,1.3354337886448548,0.7618927334802065,COMPLETE
31,0.49259371914488437,2026-05-12 14:33:20.336485,2026-05-12 14:33:23.025509,0 days 00:00:02.689024,0.539508926564218,2.521800392479817,0.02337411437803497,3,22,198,2.789474177341961,26.48460401789677,1.2917841457573973,0.7998670957056983,COMPLETE
32,0.47956260909635656,2026-05-12 14:33:23.027514,2026-05-12 14:33:26.132628,0 days 00:00:03.105114,0.5581882730699522,0.8942568279815133,0.020026350895029087,3,22,224,1.3685993354093569,19.432464678755164,1.6139321859858362,0.7810649197944959,COMPLETE
33,0.48941978256881974,2026-05-12 14:33:26.133627,2026-05-12 14:33:29.069192,0 days 00:00:02.935565,0.568763477924256,2.2383558111650834,0.017035268233695257,3,20,267,3.959266146030761,21.677990377825274,1.413360407001226,0.755583992966161,COMPLETE
34,0.48172022342606696,2026-05-12 14:33:29.071191,2026-05-12 14:33:30.774784,0 days 00:00:01.703593,0.5443070191972669,2.682369329609421,0.026227500038176223,3,26,101,5.54804075061398,16.684555382262623,1.181779764497984,0.7783893601026879,PRUNED
35,0.49952992644333927,2026-05-12 14:33:30.775784,2026-05-12 14:33:33.635446,0 days 00:00:02.859662,0.5821436821652163,2.93249668590267,0.022050445042517807,3,15,161,4.731683398222063,19.313425190242516,1.5390797257262157,0.7291787404848524,COMPLETE
36,0.495371278936367,2026-05-12 14:33:33.637446,2026-05-12 14:33:35.506974,0 days 00:00:01.869528,0.5882474990482813,3.0280360710673655,0.013631440080728167,3,15,159,5.995852016292094,24.826144195029766,1.5938046652301674,0.7278655096929038,PRUNED
37,0.4845477843287815,2026-05-12 14:33:35.507971,2026-05-12 14:33:37.572909,0 days 00:00:02.064938,0.6071659601515877,3.9910788612748354,0.02149329063526154,3,11,128,7.364428882082873,17.737388395999616,1.524965194189466,0.7028724865719056,PRUNED
38,0.49091836141043227,2026-05-12 14:33:37.573907,2026-05-12 14:33:40.750576,0 days 00:00:03.176669,0.7830138544956674,3.245617105921962,0.018883193017876512,3,12,185,4.73226619629582,18.54313753582386,1.3253304443448806,0.652327724497068,COMPLETE
39,0.4954198698624436,2026-05-12 14:33:40.752741,2026-05-12 14:33:42.608605,0 days 00:00:01.855864,0.6763472269015024,2.850764956874941,0.0373616975384912,3,30,117,3.123684542736038,20.78599441002444,1.244015203852428,0.7367701201978291,PRUNED
40,0.49487823237484596,2026-05-12 14:33:42.610608,2026-05-12 14:33:44.457219,0 days 00:00:01.846611,0.6202209075913573,3.2537005046065355,0.013608530498447466,3,13,150,8.970299061063965,5.470629086957471,1.385260896417286,0.6690733449197387,PRUNED
